"","season","league","matchweek","weekday","day","month","year","hour","stadium","attendance","referee","referee_var","home_team","away_team","home_team_score","away_team_score","home_team_score_time","away_team_score_time","home_team_penalty","away_team_penalty","home_team_penalty_time","away_team_penalty_time","home_team_penalty_scored","away_team_penalty_scored","home_team_penalty_scored_time","away_team_penalty_scored_time","home_team_penalty_missed","away_team_penalty_missed","home_team_penalty_missed_time","away_team_penalty_missed_time","home_team_own_goals","away_team_own_goals","home_team_own_goals_time","away_team_own_goals_time","home_team_possession","away_team_possession","home_team_yellow_card","away_team_yellow_card","home_team_yellow_card_time","away_team_yellow_card_time","home_team_red_card","away_team_red_card","home_team_red_card_time","away_team_red_card_time","home_team_fouls_committed","away_team_fouls_committed","home_team_fouls_won","away_team_fouls_won","home_team_shots","away_team_shots","home_team_shots_onTarget","away_team_shots_onTarget","home_team_shots_offTarget","away_team_shots_offTarget","home_team_shots_blocked","away_team_shots_blocked","home_team_corners","away_team_corners","home_team_offsides","away_team_offsides","home_team_ownGoals","home_team_ownGoals_time","away_team_ownGoals","away_team_ownGoals_time","total_score","total_penalty","total_penalty_scored","total_penalty_missed","total_ownGoals","total_yellow_card","total_red_card","total_fouls_committed","total_shots","total_shots_onTarget","total_shots_offTarget","total_shots_blocked","total_corner","total_offsides","match_final","team_won","team_lost","team_win_home","team_win_away"
"111","2013/2014","bundesliga",13,"Saturday","23","November","2013","2:30pm","Commerzbank Arena",NA,NA,NA,"Eintracht Frankfurt","Schalke",3,3,"56 61 68","14 18 86",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,46.7,53.3,4,0,"42 37 63 22",NA,0,0,NA,NA,22,20,"19","21",14,13,8,9,6,4,0,0,5,1,2,3,1,"14",0,NA,6,0,0,0,1,4,0,42,27,17,10,0,6,5,"draw",NA,NA,NA,NA
"112","2013/2014","bundesliga",13,"Saturday","23","November","2013","5:30pm","Signal Iduna Park",NA,NA,NA,"Borussia Dortmund","Bayern Munich",0,3,"NA","66 85 87",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,36.6,63.4,2,3,"45 56","44 36 45",0,0,NA,NA,7,13,"12","7",5,9,4,5,1,4,0,0,2,3,1,5,0,NA,0,NA,3,0,0,0,0,5,0,20,14,9,5,0,5,6,"victory","Bayern Munich","Borussia Dortmund",0,1
"113","2013/2014","bundesliga",13,"Sunday","24","November","2013","4:30pm","Weserstadion",NA,NA,NA,"Werder Bremen","Mainz",2,3,"85 90","7 17 70",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,63.7,36.3,1,2,"13","75 43",0,0,NA,NA,18,22,"21","18",16,14,8,7,8,7,0,0,8,8,0,4,0,NA,0,NA,5,0,0,0,0,3,0,40,30,15,15,0,16,4,"victory","Mainz","Werder Bremen",0,1
"114","2013/2014","bundesliga",13,"Saturday","23","November","2013","2:30pm","easyCredit Stadion",NA,NA,NA,"FC Nurnberg","Wolfsburg",1,1,"72","39",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,46.4,53.6,1,2,"29","56 31",0,0,NA,NA,20,17,"16","20",10,19,6,6,4,13,0,0,3,5,2,0,0,NA,0,NA,2,0,0,0,0,3,0,37,29,12,17,0,8,2,"draw",NA,NA,NA,NA
"115","2013/2014","bundesliga",13,"Saturday","23","November","2013","2:30pm","Eintracht-Stadion",NA,NA,NA,"Eintracht Braunschweig","SC Freiburg",0,1,"NA","52",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,52.9,47.1,3,1,"43 45+1 90+2","64",0,0,NA,NA,14,17,"15","14",17,7,7,2,10,5,0,0,6,1,4,1,0,NA,0,NA,1,0,0,0,0,4,0,31,24,9,15,0,7,5,"victory","SC Freiburg","Eintracht Braunschweig",0,1
"116","2013/2014","bundesliga",13,"Saturday","23","November","2013","2:30pm","Olympiastadion",NA,NA,NA,"Hertha Berlin","Bayer Leverkusen",0,1,"NA","28",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,63.4,36.6,1,1,"90","34",0,0,NA,NA,15,15,"14","15",10,3,2,2,8,1,0,0,9,1,1,4,0,NA,0,NA,1,0,0,0,0,2,0,30,13,4,9,0,10,5,"victory","Bayer Leverkusen","Hertha Berlin",0,1
"117","2013/2014","bundesliga",13,"Sunday","24","November","2013","2:30pm","Imtech Arena",NA,NA,NA,"Hamburg","Hannover 96",3,1,"31 46 84","28",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,52.5,47.5,3,3,"26 80 74","38 60 90+3",0,1,"90",NA,19,24,"22","19",15,10,9,4,6,6,0,0,7,3,1,4,0,NA,0,NA,4,0,0,0,0,6,1,43,25,13,12,0,10,5,"victory","Hamburg","Hannover 96",1,0
"118","2013/2014","bundesliga",14,"Friday","29","November","2013","7:30pm","Volkswagen Arena",NA,NA,NA,"Wolfsburg","Hamburg",1,1,"30","19",1,0,"30",NA,1,0,"30",NA,0,0,NA,NA,NA,NA,NA,NA,59,41,4,1,"73 36 58 38","52",0,0,NA,NA,16,12,"10","15",17,17,4,8,13,9,0,0,2,3,0,2,0,NA,0,NA,2,1,1,0,0,5,0,28,34,12,22,0,5,2,"draw",NA,NA,NA,NA
"119","2013/2014","bundesliga",14,"Saturday","30","November","2013","2:30pm","BayArena",NA,NA,NA,"Bayer Leverkusen","FC Nurnberg",3,0,"36 76 47","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,50.6,49.4,1,3,"66","51 65 34",0,0,NA,NA,18,14,"11","18",15,10,7,5,8,5,0,0,4,5,1,0,0,NA,0,NA,3,0,0,0,0,4,0,32,25,12,13,0,9,1,"victory","Bayer Leverkusen","FC Nurnberg",1,0
"120","2013/2014","bundesliga",14,"Saturday","30","November","2013","2:30pm","Coface Arena",NA,NA,NA,"Mainz","Borussia Dortmund",1,3,"74","78 70 78 90+4",1,2,"74","78 90+4",1,2,"74","78 90+4",0,0,NA,NA,NA,NA,NA,NA,44.7,55.3,1,0,"59",NA,1,0,NA,NA,11,15,"15","10",11,9,6,6,5,3,0,0,6,5,4,3,0,NA,0,NA,4,3,3,0,0,1,1,26,20,12,8,0,11,7,"victory","Borussia Dortmund","Mainz",0,1
