"","season","league","matchweek","weekday","day","month","year","hour","stadium","attendance","referee","referee_var","home_team","away_team","home_team_score","away_team_score","home_team_score_time","away_team_score_time","home_team_penalty","away_team_penalty","home_team_penalty_time","away_team_penalty_time","home_team_penalty_scored","away_team_penalty_scored","home_team_penalty_scored_time","away_team_penalty_scored_time","home_team_penalty_missed","away_team_penalty_missed","home_team_penalty_missed_time","away_team_penalty_missed_time","home_team_own_goals","away_team_own_goals","home_team_own_goals_time","away_team_own_goals_time","home_team_possession","away_team_possession","home_team_yellow_card","away_team_yellow_card","home_team_yellow_card_time","away_team_yellow_card_time","home_team_red_card","away_team_red_card","home_team_red_card_time","away_team_red_card_time","home_team_fouls_committed","away_team_fouls_committed","home_team_fouls_won","away_team_fouls_won","home_team_shots","away_team_shots","home_team_shots_onTarget","away_team_shots_onTarget","home_team_shots_offTarget","away_team_shots_offTarget","home_team_shots_blocked","away_team_shots_blocked","home_team_corners","away_team_corners","home_team_offsides","away_team_offsides","home_team_ownGoals","home_team_ownGoals_time","away_team_ownGoals","away_team_ownGoals_time","total_score","total_penalty","total_penalty_scored","total_penalty_missed","total_ownGoals","total_yellow_card","total_red_card","total_fouls_committed","total_shots","total_shots_onTarget","total_shots_offTarget","total_shots_blocked","total_corner","total_offsides","match_final","team_won","team_lost","team_win_home","team_win_away"
"167","2015/2016","bundesliga",19,"Sunday","31","January","2016","4:30pm","Allianz Arena",NA,NA,NA,"Bayern Munich","Hoffenheim",2,0,"32 64","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,73.9,26.1,1,1,"28","28",0,0,NA,NA,11,11,"11","10",30,5,9,2,13,3,8,0,10,2,3,2,0,NA,0,NA,2,0,0,0,0,2,0,22,35,11,16,8,12,5,"victory","Bayern Munich","Hoffenheim",1,0
"168","2015/2016","bundesliga",19,"Saturday","30","January","2016","2:30pm","Merck-Stadion am Bollenfalltor",NA,NA,NA,"SV Darmstadt 98","Schalke",0,2,"NA","43 53",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,38.1,61.9,3,2,"83 66 55","84 59",0,0,NA,NA,13,20,"19","13",6,11,2,7,4,3,0,1,2,9,1,2,0,NA,0,NA,2,0,0,0,0,5,0,33,17,9,7,1,11,3,"victory","Schalke","SV Darmstadt 98",0,1
"169","2015/2016","bundesliga",19,"Saturday","30","January","2016","2:30pm","BayArena",NA,NA,NA,"Bayer Leverkusen","Hannover 96",3,0,"44 63 87","NA",1,0,"63",NA,1,0,"63",NA,0,0,NA,NA,NA,NA,NA,NA,57.5,42.5,0,3,NA,"62 25 65",0,0,NA,NA,10,21,"20","8",14,7,6,2,8,2,0,3,6,6,5,1,0,NA,0,NA,3,1,1,0,0,3,0,31,21,8,10,3,12,6,"victory","Bayer Leverkusen","Hannover 96",1,0
"170","2015/2016","bundesliga",19,"Saturday","30","January","2016","2:30pm","Signal Iduna Park",NA,NA,NA,"Borussia Dortmund","FC Ingolstadt 04",2,0,"77 86","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,66.7,33.3,4,2,"71 61 28 81","26 75",0,0,NA,NA,15,18,"18","15",11,5,6,3,4,2,1,0,4,1,3,2,0,NA,0,NA,2,0,0,0,0,6,0,33,16,9,6,1,5,5,"victory","Borussia Dortmund","FC Ingolstadt 04",1,0
"171","2015/2016","bundesliga",19,"Sunday","31","January","2016","2:30pm","Volkswagen Arena",NA,NA,NA,"Wolfsburg","Cologne",1,1,"67","75",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,67.8,32.2,3,1,"82 77 89","45",0,0,NA,NA,11,11,"11","11",17,11,4,4,9,5,4,2,5,5,1,2,0,NA,0,NA,2,0,0,0,0,4,0,22,28,8,14,6,10,3,"draw",NA,NA,NA,NA
"172","2015/2016","bundesliga",20,"Friday","5","February","2016","7:30pm","Borussia-Park",NA,NA,NA,"M'gladbach","Werder Bremen",5,1,"12 31 50 70 87","56",1,1,"70","56",1,1,"70","56",0,0,NA,NA,NA,NA,NA,NA,47.2,52.8,1,2,"30","69 74",0,0,NA,NA,14,12,"12","14",17,15,9,4,5,7,3,4,2,7,3,3,0,NA,0,NA,6,2,2,0,0,3,0,26,32,13,12,7,9,6,"victory","M'gladbach","Werder Bremen",1,0
"173","2015/2016","bundesliga",20,"Saturday","6","February","2016","2:30pm","Veltins Arena",NA,NA,NA,"Schalke","Wolfsburg",3,0,"24 35 87","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,40,60,2,3,"49 26","62 30 58",0,0,NA,NA,15,14,"12","15",15,14,3,2,6,7,6,5,6,6,3,0,0,NA,0,NA,3,0,0,0,0,5,0,29,29,5,13,11,12,3,"victory","Schalke","Wolfsburg",1,0
"174","2015/2016","bundesliga",20,"Saturday","6","February","2016","2:30pm","Audi Sportpark",NA,NA,NA,"FC Ingolstadt 04","FC Augsburg",2,1,"59 85","14",1,0,"85",NA,1,0,"85",NA,0,0,NA,NA,NA,NA,NA,NA,43.9,56.1,2,3,"62 87","20 45+1 87",0,0,NA,NA,17,22,"22","16",24,7,4,2,8,3,12,2,8,3,1,9,0,NA,0,NA,3,1,1,0,0,5,0,39,31,6,11,14,11,10,"victory","FC Ingolstadt 04","FC Augsburg",1,0
"175","2015/2016","bundesliga",20,"Saturday","6","February","2016","5:30pm","BayArena",NA,NA,NA,"Bayer Leverkusen","Bayern Munich",0,0,"NA","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,37.3,62.7,0,1,NA,"78",0,1,"84",NA,17,11,"10","17",6,9,2,1,2,4,2,4,6,8,4,2,0,NA,0,NA,0,0,0,0,0,1,1,28,15,3,6,6,14,6,"draw",NA,NA,NA,NA
"176","2015/2016","bundesliga",20,"Sunday","7","February","2016","4:30pm","WIRSOL Rhein-Neckar-Arena",NA,NA,NA,"Hoffenheim","SV Darmstadt 98",0,2,"NA","33 85",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,68.6,31.4,1,3,"73","82 73 81",0,0,NA,NA,17,15,"14","17",12,11,1,5,6,5,5,1,8,7,2,1,0,NA,0,NA,2,0,0,0,0,4,0,32,23,6,11,6,15,3,"victory","SV Darmstadt 98","Hoffenheim",0,1
