"season","league","matchweek","weekday","day","month","year","hour","stadium","attendance","referee","referee_var","home_team","away_team","home_team_score","away_team_score","home_team_score_time","away_team_score_time","home_team_penalty","away_team_penalty","home_team_penalty_time","away_team_penalty_time","home_team_penalty_scored","away_team_penalty_scored","home_team_penalty_scored_time","away_team_penalty_scored_time","home_team_penalty_missed","away_team_penalty_missed","home_team_penalty_missed_time","away_team_penalty_missed_time","home_team_own_goals","away_team_own_goals","home_team_own_goals_time","away_team_own_goals_time","home_team_possession","away_team_possession","home_team_yellow_card","away_team_yellow_card","home_team_yellow_card_time","away_team_yellow_card_time","home_team_red_card","away_team_red_card","home_team_red_card_time","away_team_red_card_time","home_team_fouls_committed","away_team_fouls_committed","home_team_fouls_won","away_team_fouls_won","home_team_shots","away_team_shots","home_team_shots_onTarget","away_team_shots_onTarget","home_team_shots_offTarget","away_team_shots_offTarget","home_team_shots_blocked","away_team_shots_blocked","home_team_corners","away_team_corners","home_team_offsides","away_team_offsides","home_team_ownGoals","home_team_ownGoals_time","away_team_ownGoals","away_team_ownGoals_time","home_team_goal","total_score","total_penalty","total_penalty_scored","total_penalty_missed","total_ownGoals","total_yellow_card","total_red_card","total_fouls_committed","total_shots","total_shots_onTarget","total_shots_offTarget","total_shots_blocked","total_corner","total_offsides","match_final","team_won","team_lost","team_win_home","team_win_away"
"2012-13","serie A",12,NA,"11","11","2012","15:00","Luigi Ferraris",NA,"Nicola Rizzoli",NA,"Genoa","Napoli",2,4,"23 55","54 79 90 90+4",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,3,"78, 90+2","39, 45+1, 46",0,0,NA,NA,15,12,NA,NA,11,17,6,11,5,6,5,3,2,3,8,3,0,NA,0,NA,NA,6,0,0,0,0,5,0,27,28,17,11,8,5,11,"victory","Napoli","Genoa",0,1
"2012-13","serie A",12,NA,"11","11","2012","15:00","Olimpico",NA,"Gianluca Rocchi",NA,"Lazio","Roma",3,2,"35 43 47","9 86",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4,4,"18, 39, 45+2, 58","25, 33, 79, 89",0,1,"45+2",NA,10,20,NA,NA,11,10,7,5,4,5,3,4,7,6,6,0,0,NA,0,NA,NA,5,0,0,0,0,8,1,30,21,12,9,7,13,6,"victory","Lazio","Roma",1,0
"2012-13","serie A",12,NA,"11","11","2012","15:00","Giuseppe Meazza",NA,"Andrea Romeo",NA,"Milan","Fiorentina",1,3,"59","10 38 87",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,4,"30, 61, 68","24, 33, 34, 63",0,0,NA,NA,19,9,NA,NA,12,11,4,6,8,5,2,1,7,4,2,1,0,NA,0,NA,NA,4,0,0,0,0,7,0,28,23,10,13,3,11,3,"victory","Fiorentina","Milan",0,1
"2012-13","serie A",12,NA,"11","11","2012","15:00","Ennio Tardini",NA,"Domenico Celi",NA,"Parma","Robur Siena",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,1,"52, 55, 75","81",0,0,NA,NA,13,7,NA,NA,13,7,5,2,8,5,2,5,6,4,2,2,0,NA,0,NA,NA,0,0,0,0,0,4,0,20,20,7,13,7,10,4,"draw",NA,NA,NA,NA
"2012-13","serie A",12,NA,"11","11","2012","15:00","Olimpico",NA,"Andrea Gervasoni",NA,"Torino","Bologna",1,0,"65",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,5,"51, 62","9, 33, 58, 64, 83",0,0,NA,NA,12,15,NA,NA,12,9,5,1,7,8,1,4,6,3,2,5,0,NA,0,NA,NA,1,0,0,0,0,7,0,27,21,6,15,5,9,7,"victory","Torino","Bologna",1,0
"2012-13","serie A",12,NA,"11","11","2012","20:45","Gewiss Stadium",NA,"Antonio Damato",NA,"Atalanta","Inter",3,2,"9 60 67","56 84",1,0,"67",NA,1,0,"67",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"28, 55","53",1,0,NA,NA,15,10,NA,NA,14,14,5,7,9,7,5,2,7,7,6,1,0,NA,0,NA,NA,5,1,1,0,0,3,1,25,28,12,16,7,14,7,"victory","Atalanta","Inter",1,0
"2012-13","serie A",13,NA,"17","11","2012","18:00","Allianz Stadium",NA,"Daniele Orsato",NA,"Juventus","Lazio",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,2,"48","52, 89",0,0,NA,NA,12,18,NA,NA,13,3,7,0,6,3,0,6,11,1,3,1,0,NA,0,NA,NA,0,0,0,0,0,3,0,30,16,7,9,6,12,4,"draw",NA,NA,NA,NA
"2012-13","serie A",13,NA,"17","11","2012","20:45","San Paolo",NA,"Mauro Bergonzi",NA,"Napoli","Milan",2,2,"4 30","44 82",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,"52, 63, 64","78, 90",0,0,NA,NA,10,13,NA,NA,9,18,5,5,4,13,3,3,4,5,0,1,0,NA,0,NA,NA,4,0,0,0,0,5,0,23,27,10,17,6,9,1,"draw",NA,NA,NA,NA
"2012-13","serie A",13,NA,"18","11","2012","15:00","Renato Dall'ara",NA,"Paolo Valeri",NA,"Bologna","Palermo",3,0,"22 44 48",NA,2,0,"44, 48",NA,2,0,"44, 48",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4,2,"13, 16, 43, 45+2","17, 44",0,2,"46, 82",NA,13,13,NA,NA,16,6,8,2,8,4,2,5,1,5,2,0,0,NA,0,NA,NA,3,2,2,0,0,6,2,26,22,10,12,7,6,2,"victory","Bologna","Palermo",1,0
"2012-13","serie A",13,NA,"18","11","2012","15:00","Angelo Massimino",NA,"Sebastiano Peruzzo",NA,"Catania","Chievoverona",2,1,"51 85","90+3",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,3,"61, 63","49, 70, 72",0,0,NA,NA,13,18,NA,NA,14,7,4,3,10,4,1,2,9,6,4,2,0,NA,0,NA,NA,3,0,0,0,0,5,0,31,21,7,14,3,15,6,"victory","Catania","Chievoverona",1,0
"2012-13","serie A",13,NA,"18","11","2012","15:00","Artemio Franchi",NA,"Andrea De Marco",NA,"Fiorentina","Atalanta",4,1,"5 42 45+2 49","32",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,5,"25","16, 19, 52, 56, 61",0,1,"45+1",NA,11,15,NA,NA,20,6,9,2,11,4,1,5,6,4,1,2,0,NA,0,NA,NA,5,0,0,0,0,6,1,26,26,11,15,6,10,3,"victory","Fiorentina","Atalanta",1,0
"2012-13","serie A",13,NA,"18","11","2012","15:00","Giuseppe Meazza",NA,"Piero Giacomelli",NA,"Inter","Cagliari",2,2,"10 82","43 66",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,5,"26, 41","40, 50, 52, 61, 73",0,0,NA,NA,8,23,NA,NA,17,14,8,7,9,7,4,7,10,6,2,2,1,"82",0,NA,NA,4,0,0,0,1,7,0,31,31,15,16,11,16,4,"draw",NA,NA,NA,NA
"2012-13","serie A",13,NA,"18","11","2012","15:00","Artemio Franchi",NA,"Massimiliano Irrati",NA,"Robur Siena","Pescara",1,0,"31",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,3,"44","16, 45, 73",0,1,"90+2",NA,17,20,NA,NA,15,11,7,6,8,5,5,5,6,5,4,2,0,NA,0,NA,NA,1,0,0,0,0,4,1,37,26,13,13,10,11,6,"victory","Robur Siena","Pescara",1,0
"2012-13","serie A",13,NA,"18","11","2012","15:00","Dacia Arena",NA,"Carmine Russo",NA,"Udinese","Parma",2,2,"9 50","46 89",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,"34, 70, 86","11, 62, 67",0,0,NA,NA,16,14,NA,NA,7,13,4,7,3,6,5,2,6,5,3,0,0,NA,0,NA,NA,4,0,0,0,0,6,0,30,20,11,9,7,11,3,"draw",NA,NA,NA,NA
"2012-13","serie A",13,NA,"18","11","2012","20:45","Luigi Ferraris",NA,"Paolo Silvio Mazzoleni",NA,"Sampdoria","Genoa",3,1,"16 36 88","73",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,4,"23, 29","27, 58, 76, 81",0,0,NA,NA,22,24,NA,NA,10,19,4,8,6,11,7,2,0,5,2,1,1,"36",0,NA,NA,4,0,0,0,1,6,0,46,29,12,17,9,5,3,"victory","Sampdoria","Genoa",1,0
"2012-13","serie A",13,NA,"19","11","2012","20:45","Olimpico",NA,"Marco Guida",NA,"Roma","Torino",2,0,"71 86",NA,1,0,"71",NA,1,0,"71",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,4,"34, 78, 87","26, 56, 62, 72",0,0,NA,NA,9,14,NA,NA,16,5,9,4,7,1,4,7,9,4,1,7,0,NA,0,NA,NA,2,1,1,0,0,7,0,23,21,13,8,11,13,8,"victory","Roma","Torino",1,0
"2012-13","serie A",14,NA,"24","11","2012","20:45","Renzo Barbera",NA,"Andrea Romeo",NA,"Palermo","Catania",3,1,"10 49 60","70",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,4,"40, 43, 80","43, 54, 86, 90+2",0,0,NA,NA,11,14,NA,NA,17,13,9,10,8,3,9,7,3,7,4,0,0,NA,0,NA,NA,4,0,0,0,0,7,0,25,30,19,11,16,10,4,"victory","Palermo","Catania",1,0
